Department,dayofweek,avg_visits,last_known_lag_7
CHRONIC,0,43.53913043478261,60.0
CHRONIC,1,44.15652173913043,51.0
CHRONIC,2,40.17391304347826,30.0
CHRONIC,3,48.01754385964912,51.0
CHRONIC,4,43.3859649122807,73.0
CHRONIC,5,0.02608695652173913,0.0
CHRONIC,6,0.008695652173913044,0.0
GENERAL OPD,0,140.41739130434783,190.0
GENERAL OPD,1,138.63478260869564,157.0
GENERAL OPD,2,130.68695652173912,91.0
GENERAL OPD,3,126.85964912280701,134.0
GENERAL OPD,4,119.60526315789474,117.0
GENERAL OPD,5,49.278260869565216,54.0
GENERAL OPD,6,34.278260869565216,37.0
MCH,0,46.18260869565217,52.0
MCH,1,45.243478260869566,49.0
MCH,2,40.38260869565217,25.0
MCH,3,59.44736842105263,59.0
MCH,4,51.30701754385965,49.0
MCH,5,7.034782608695652,5.0
MCH,6,5.104347826086957,3.0
ONCOLOGY,0,18.713043478260868,21.0
ONCOLOGY,1,31.51304347826087,32.0
ONCOLOGY,2,33.28695652173913,47.0
ONCOLOGY,3,19.026315789473685,20.0
ONCOLOGY,4,15.149122807017545,15.0
ONCOLOGY,5,0.0,0.0
ONCOLOGY,6,0.0,0.0
RENAL,0,16.434782608695652,16.0
RENAL,1,17.08695652173913,22.0
RENAL,2,14.695652173913043,6.0
RENAL,3,15.868421052631579,18.0
RENAL,4,16.63157894736842,16.0
RENAL,5,14.121739130434783,10.0
RENAL,6,1.2260869565217392,0.0
SPECIALITY CLINIC,0,57.38260869565217,47.0
SPECIALITY CLINIC,1,34.3304347826087,36.0
SPECIALITY CLINIC,2,16.47826086956522,5.0
SPECIALITY CLINIC,3,45.70175438596491,34.0
SPECIALITY CLINIC,4,38.45614035087719,19.0
SPECIALITY CLINIC,5,0.008695652173913044,0.0
SPECIALITY CLINIC,6,0.008695652173913044,0.0
